customer_id,name,email,region
1,Aaron,aaron@gmail.com,East
2,Sam,sam@gmail.com,East
3,Choki,choki@gmail.com,East
4,Mickey,mickey@gmail.com,West
5,Tomie,tomie@gmail.com,North
6,dudu,dudu@gmail.com,South
7,samie,samie@gmail.com,West
8,bubu,bubu@gmail.com,West
9,samyuktha,samyukatha@gmail.com,East
10,love,love@gmail.com,East
11,Kiara,kiara@gmail.com,South-Central
12,Sai,sai@gmail.com,North-East
13,Shaurya,shaurya@gmail.com,South-Central
14,Ira,ira@gmail.com,East-West
15,Krishna,krishna@gmail.com,West-North
16,Ishaan,ishaan@gmail.com,East-West
17,Anika,anika@gmail.com,West-North
18,Ishaan,ishaan@gmail.com,West-North
19,Ira,ira@gmail.com,West-North
20,Reyansh,reyansh@gmail.com,West-North
21,Reyansh,reyansh@gmail.com,Central-East
22,Navya,navya@gmail.com,North-East
23,Sai,sai@gmail.com,North-East
24,Navya,navya@gmail.com,North-East
25,Sethu,sethu@gmail.com,South-Central
26,Anika,anika@gmail.com,West-North
27,Ira,ira@gmail.com,North-East
28,Kiara,kiara@gmail.com,South-Central
29,Saanvi,saanvi@gmail.com,North-East
30,Diya,diya@gmail.com,West-North
31,Vihaan,vihaan@gmail.com,West-North
32,Aadhya,aadhya@gmail.com,East-West
33,Ishaan,ishaan@gmail.com,West-North
34,Anika,anika@gmail.com,North-East
35,Kiara,kiara@gmail.com,North-East
36,Diya,diya@gmail.com,East-West
37,Arjun,arjun@gmail.com,East-West
38,Aadhya,aadhya@gmail.com,West-North
39,Anika,anika@gmail.com,East-West
40,Saanvi,saanvi@gmail.com,Central-East
41,Krishnan,krishnan@gmail.com,South-Central
42,Adityan,adityan@gmail.com,North-East
43,Ira,ira@gmail.com,South-Central
44,Kiara,kiara@gmail.com,West-North
45,Krishna,krishna@gmail.com,West-North
46,Reyansh,reyansh@gmail.com,North-East
47,Anaya,anaya@gmail.com,West-North
48,Aarav,aarav@gmail.com,Central-East
49,Shaurya,shaurya@gmail.com,South-Central
50,Rohit,Rohit@gmail.com,East-West
51,Aarav,aarav@gmail.com,South-Central
52,Myra,myra@gmail.com,Central-East
53,Aarohin,aarohin@gmail.com,East-West
54,Vihaan,vihaan@gmail.com,North-East
55,Navya,navya@gmail.com,West-North
56,Myra,myra@gmail.com,Central-East
57,Shaurya,shaurya@gmail.com,East-West
58,Myra,myra@gmail.com,South-Central
59,Shaurya,shaurya@gmail.com,South-Central
60,Anika,anika@gmail.com,Central-East
61,Myra,myra@gmail.com,East-West
62,John,john@gmail.com,East-West
63,Saanvi,saanvi@gmail.com,Central-East
64,Aadhya,aadhya@gmail.com,East-West
65,Vihaan,vihaan@gmail.com,Central-East
66,Myra,myra@gmail.com,East-West
67,Reyansh,reyansh@gmail.com,West-North
68,Aadhya,aadhya@gmail.com,South-Central
69,Diya,diya@gmail.com,Central-East
70,Reyansh,reyansh@gmail.com,East-West
71,Shaurya,shaurya@gmail.com,West-North
72,sai,sai@gmail.com,Central-East
73,Aadhya,aadhya@gmail.com,East-West
74,Anika,anika@gmail.com,Central-East
75,Krishna,krishna@gmail.com,East-West
76,Aadhya,aadhya@gmail.com,North-East
77,Anaya,anaya@gmail.com,South-Central
78,Ira,ira@gmail.com,West-North
79,pradeepan,pradeepan@gmail.com,South-Central
80,Anika,anika@gmail.com,South-Central
81,Diya,diya@gmail.com,East-West
82,Aditya,aditya@gmail.com,Central-East
83,Vihaan,vihaan@gmail.com,North-East
84,aarohi,aarohi@gmail.com,Central-East
85,Vivaan,vivaan@gmail.com,East-West
86,Aarohi,aarohi@gmail.com,West-North
87,Reyansh,reyansh@gmail.com,Central-East
88,Vihaan,vihaan@gmail.com,Central-East
89,Aarav,aarav@gmail.com,South-Central
90,Vihaan,vihaan@gmail.com,North-East
91,Navya,navya@gmail.com,East-West
92,Myra,myra@gmail.com,East-West
93,Aditya,aditya@gmail.com,Central-East
94,Shaurya,shaurya@gmail.com,West-North
95,Krishna,krishna@gmail.com,Central-East
96,Aditya,aditya@gmail.com,East-West
97,Vivaan,vivaan@gmail.com,East-West
98,Aarav,aarav@gmail.com,Central-East
99,Reyansh,reyansh@gmail.com,East-West
100,Reyanshi,reyanshi@gmail.com,North-East
